time,response,device,method
105.80560255050659,What kind of music is anthems for worship?,cpu,Naive
115.31668019294739,"what was billy walton's football position?
",cpu,Naive
115.28156566619873,which footballer was born in canton of nidwalden ,cpu,Naive
127.4511296749115,Which city and country was toni branca born in?,cpu,Naive
90.61488795280457,Who is a politician born in gloucestershire,cpu,Naive
103.53949403762817,What genre of film is ram-avtar?,cpu,Naive
197.90229678153992,"what did amir-abbas hoveyda die as a result of?
",cpu,Naive
58.000760078430176,what is largemouth bass?,cpu,Naive
148.37655663490295,who was a military personnel involved in the battle of fredericksburg.,cpu,Naive
114.85990142822266,what's a movie in the india netflix genre?,cpu,Naive
111.2322609424591,"Name a famous Australian singer known for pop music?
",cpu,Naive
71.63460397720337,what is the record label of afi k,cpu,Naive
90.08434081077576,who was in charge of story on jumanji and,cpu,Naive
106.32189702987671,What country did the battle of lechfeld take place in?,cpu,Naive
88.11959719657898,"what is elizabeth couchman's gender?
",cpu,Naive
54.45506811141968,what kind of book is night and,cpu,Naive
53.16400337219238,who composed run for your life.,cpu,Naive
124.97198224067688,Who is the former Justice of Supreme Court of Pakistan born in mumbai?,cpu,Naive
71.04893016815186,which artist is considered an indie rock artist?,cpu,Naive
80.01567101478577,what label is the the delmore brothers under?,cpu,Naive
