time,response,device,method
301.10514092445374,When was Hiroshima bombed? The,cpu,Naive
289.9769194126129,How much does water weigh? How,cpu,Naive
292.66582798957825,What are triglycerides? What,cpu,Naive
245.62748312950134,What are spider veins? Spider,cpu,Naive
454.4656660556793,Which country gave New York the Statue of Liberty? The,cpu,Naive
294.4391028881073,What is cerebral palsy? C,cpu,Naive
376.17671275138855,What is the capital of Persia? ,cpu,Naive
294.7733726501465,Where are the Rocky Mountains? The,cpu,Naive
414.4055235385895,What is the criterion for being legally blind? ,cpu,Naive
846.2698509693146,The U.S. Department of Treasury first issued paper currency for the U.S. during which war? The,cpu,Naive
253.19850158691406,What is TMJ? TM,cpu,Naive
495.9382610321045,What state has the least amount of rain per year? ,cpu,Naive
207.82188081741333,Where is Perth? Perth,cpu,Naive
413.99996280670166,What do you call a newborn kangaroo? A,cpu,Naive
286.57363724708557,Where is the Savannah River? The,cpu,Naive
371.0802094936371,What is the birthstone for June? What,cpu,Naive
253.89152646064758,What is an ulcer? An,cpu,Naive
296.4006235599518,What is strep throat? St,cpu,Naive
293.092871427536,Where are the National Archives? The,cpu,Naive
297.1603524684906,Who is a German philosopher? ,cpu,Naive
