time,response,device,method
19.864120483398438,What kind of music is anthems for worship?,cpu,RSR
21.455984115600586,"what was billy walton's football position?
",cpu,RSR
21.38868474960327,which footballer was born in canton of nidwalden ,cpu,RSR
23.292948246002197,Which city and country was toni branca born in?,cpu,RSR
18.023257970809937,Who is a politician born in gloucestershire,cpu,RSR
19.462390899658203,What genre of film is ram-avtar?,cpu,RSR
34.06221151351929,"what did amir-abbas hoveyda die as a result of?
",cpu,RSR
12.269490003585815,what is largemouth bass?,cpu,RSR
26.58091402053833,who was a military personnel involved in the battle of fredericksburg.,cpu,RSR
21.01404356956482,what's a movie in the india netflix genre?,cpu,RSR
21.216810703277588,"Name a famous Australian singer known for pop music?
",cpu,RSR
17.648876905441284,what is the record label of afi k,cpu,RSR
21.309001922607422,who was in charge of story on jumanji and,cpu,RSR
24.892821788787842,What country did the battle of lechfeld take place in?,cpu,RSR
20.925915241241455,"what is elizabeth couchman's gender?
",cpu,RSR
13.979843616485596,what kind of book is night and,cpu,RSR
14.037307977676392,who composed run for your life.,cpu,RSR
27.93272304534912,Who is the former Justice of Supreme Court of Pakistan born in mumbai?,cpu,RSR
17.641990423202515,which artist is considered an indie rock artist?,cpu,RSR
19.340389728546143,what label is the the delmore brothers under?,cpu,RSR
