time,response,device,method
248.5715982913971,"When was Hiroshima bombed?
",cpu,Naive
287.5935389995575,"How much does water weigh?
",cpu,Naive
208.94105172157288,"What are triglycerides?
",cpu,Naive
248.03854084014893,"What are spider veins?
",cpu,Naive
438.5386002063751,"Which country gave New York the Statue of Liberty?
",cpu,Naive
249.56741881370544,"What is cerebral palsy?
",cpu,Naive
327.4296314716339,"What is the capital of Persia?
",cpu,Naive
287.7349863052368,"Where are the Rocky Mountains?
",cpu,Naive
402.4948720932007,"What is the criterion for being legally blind?
",cpu,Naive
884.3609337806702,"The U.S. Department of Treasury first issued paper currency for the U.S. during which war?
",cpu,Naive
208.58084630966187,"What is TMJ?
",cpu,Naive
478.1894190311432,"What state has the least amount of rain per year?
",cpu,Naive
207.7883107662201,"Where is Perth?
",cpu,Naive
365.11182260513306,"What do you call a newborn kangaroo?
",cpu,Naive
288.17755365371704,"Where is the Savannah River?
",cpu,Naive
325.80296444892883,"What is the birthstone for June?
",cpu,Naive
248.58004117012024,"What is an ulcer?
",cpu,Naive
248.26994585990906,"What is strep throat?
",cpu,Naive
287.39097905158997,"Where are the National Archives?
",cpu,Naive
287.0507016181946,"Who is a German philosopher?
",cpu,Naive
