time,response,device,method
60.18243646621704,"What is the capital of France?
",cpu,RSR
52.5835075378418,"Who wrote Romeo and Juliet?
",cpu,RSR
72.62783646583557,"What is 2 + 2?
",cpu,RSR
80.23193740844727,"What is the largest planet in the solar system?
",cpu,RSR
52.187966108322144,"Who painted the Mona Lisa?
",cpu,RSR
80.68946576118469,"What is the square root of 16?
",cpu,RSR
66.88578796386719,"What is the tallest mountain on Earth?
",cpu,RSR
94.33580946922302,"What is the name of the first man on the moon?
",cpu,RSR
73.40944814682007,"What is the currency of the United States?
",cpu,RSR
52.236990213394165,"How many continents are there?
",cpu,RSR
