time,response,device,method
53.72115135192871,"When was Hiroshima bombed?
",cpu,Naive
62.5428740978241,"How much does water weigh?
",cpu,Naive
44.90251398086548,What are triglycerides?,cpu,Naive
54.323832273483276,What are spider veins?,cpu,Naive
99.30276250839233,"Which country gave New York the Statue of Liberty?
",cpu,Naive
53.57593822479248,What is cerebral palsy?,cpu,Naive
72.14924144744873,"What is the capital of Persia?
",cpu,Naive
62.11088418960571,"Where are the Rocky Mountains?
",cpu,Naive
88.81642007827759,What is the criterion for being legally blind?,cpu,Naive
209.59772634506226,"The U.S. Department of Treasury first issued paper currency for the U.S. during which war?
",cpu,Naive
45.859241008758545,What is TMJ?,cpu,Naive
110.12156295776367,"What state has the least amount of rain per year?
",cpu,Naive
45.61682891845703,"Where is Perth?
",cpu,Naive
80.8201949596405,What do you call a newborn kangaroo? A,cpu,Naive
63.668829679489136,Where is the Savannah River?,cpu,Naive
70.68547177314758,"What is the birthstone for June?
",cpu,Naive
53.64426636695862,What is an ulcer?,cpu,Naive
52.74088191986084,What is strep throat?,cpu,Naive
62.340450286865234,"Where are the National Archives?
",cpu,Naive
62.377299070358276,Who is a German philosopher?,cpu,Naive
