time,response,device,method
454.53634905815125,What kind of music is anthems for worship? What,cpu,Naive
446.15128803253174,what was billy walton's football position?,cpu,Naive
522.0257415771484,which footballer was born in canton of nidwalden in,cpu,Naive
489.09285593032837,Which city and country was toni branca born in the,cpu,Naive
410.16722774505615,"Who is a politician born in gloucester,",cpu,Naive
409.6400640010834,"What genre of film is ram-avtar?
",cpu,Naive
725.4159452915192,what did amir-abbas hoveyda die as a result of? The,cpu,Naive
256.35036540031433,what is largemouth bass called,cpu,Naive
569.5103962421417,who was a military personnel involved in the battle of fredericksburg.,cpu,Naive
446.77482771873474,what's a movie in the india netflix genre of,cpu,Naive
470.7557625770569,Name a famous Australian singer known for pop music?,cpu,Naive
375.2626278400421,"what is the record label of afi?
",cpu,Naive
455.9746057987213,who was in charge of story on jumanji ,cpu,Naive
532.1901288032532,"What country did the battle of lechfeld take place in?
",cpu,Naive
416.024929523468,what is elizabeth couchman's gender?,cpu,Naive
295.92523312568665,what kind of book is night?,cpu,Naive
294.1948068141937,"who composed run for your life,",cpu,Naive
603.9120237827301,"Who is the former Justice of Supreme Court of Pakistan born in mumbai?
",cpu,Naive
368.8364360332489,"which artist is considered an indie rock artist?
",cpu,Naive
411.47090339660645,what label is the the delmore brothers under the,cpu,Naive
