time,response,device,method
72.87587881088257,"What kind of music is anthems for worship?
",cpu,RSR
79.99542093276978,"what was billy walton's football position?
",cpu,RSR
80.00008344650269,which footballer was born in canton of nidwalden?,cpu,RSR
87.43026065826416,Which city and country was toni branca born in?,cpu,RSR
66.26322722434998,Who is a politician born in gloucester?,cpu,RSR
72.9525146484375,What genre of film is ram-avtar?,cpu,RSR
128.72103834152222,"what did amir-abbas hoveyda die as a result of?
",cpu,RSR
45.1386182308197,what is largemouth bass?,cpu,RSR
101.32166719436646,who was a military personnel involved in the battle of fredericksburg.,cpu,RSR
80.26301956176758,what's a movie in the india netflix genre?,cpu,RSR
80.60079097747803,"Name a famous Australian singer known for pop music?
",cpu,RSR
67.73538208007812,what is the record label of afi?,cpu,RSR
81.13559031486511,who was in charge of story on jumanji.,cpu,RSR
94.50303411483765,What country did the battle of lechfeld take place in?,cpu,RSR
80.33738875389099,"what is elizabeth couchman's gender?
",cpu,RSR
52.385974168777466,what kind of book is night time,cpu,RSR
51.80984616279602,who composed run for your life.,cpu,RSR
107.7335512638092,Who is the former Justice of Supreme Court of Pakistan born in mumbai?,cpu,RSR
65.7362699508667,which artist is considered an indie rock artist?,cpu,RSR
72.78637981414795,what label is the the delmore brothers under?,cpu,RSR
