time,response,device,method
14.268319606781006,"When was Hiroshima bombed?
",cpu,RSR
15.931117057800293,"How much does water weigh?
",cpu,RSR
12.203923225402832,What are triglycerides?,cpu,RSR
13.884863138198853,What are spider veins?,cpu,RSR
22.92558526992798,"Which country gave New York the Statue of Liberty?
",cpu,RSR
14.037341356277466,What is cerebral palsy?,cpu,RSR
17.480173587799072,"What is the capital of Persia?
",cpu,RSR
15.952024221420288,"Where are the Rocky Mountains?
",cpu,RSR
21.294803857803345,What is the criterion for being legally blind?,cpu,RSR
44.35789465904236,"The U.S. Department of Treasury first issued paper currency for the U.S. during which war?
",cpu,RSR
11.79978346824646,What is TMJ?,cpu,RSR
24.782391786575317,"What state has the least amount of rain per year?
",cpu,RSR
12.164376258850098,"Where is Perth?
",cpu,RSR
19.196847438812256,What do you call a newborn kangaroo? A,cpu,RSR
15.810255527496338,Where is the Savannah River?,cpu,RSR
17.356982231140137,"What is the birthstone for June?
",cpu,RSR
13.882896900177002,What is an ulcer?,cpu,RSR
14.010053396224976,What is strep throat?,cpu,RSR
16.08376932144165,"Where are the National Archives?
",cpu,RSR
15.80053162574768,Who is a German philosopher?,cpu,RSR
