time,response,device,method
17.236847400665283,What is the capital of France?,cpu,RSR
14.57452392578125,Who wrote Romeo and Juliet?,cpu,RSR
19.826208353042603,What is 2 + 2?,cpu,RSR
21.364981174468994,What is the largest planet in the solar system?,cpu,RSR
13.986150026321411,Who painted the Mona Lisa?,cpu,RSR
21.312555074691772,What is the square root of 16?,cpu,RSR
17.8617947101593,What is the tallest mountain on Earth?,cpu,RSR
25.235631704330444,What is the name of the first man on the moon?,cpu,RSR
19.867371559143066,What is the currency of the United States?,cpu,RSR
14.225868940353394,"How many continents are there?
",cpu,RSR
