time,response,device,method
364.9184024333954,"What kind of music is anthems for worship?
",cpu,Naive
401.2838113307953,"what was billy walton's football position?
",cpu,Naive
400.77759623527527,which footballer was born in canton of nidwalden?,cpu,Naive
443.2009377479553,Which city and country was toni branca born in?,cpu,Naive
328.3522493839264,Who is a politician born in gloucester?,cpu,Naive
365.59527373313904,What genre of film is ram-avtar?,cpu,Naive
661.4625928401947,"what did amir-abbas hoveyda die as a result of?
",cpu,Naive
208.54939723014832,what is largemouth bass?,cpu,Naive
513.5775990486145,who was a military personnel involved in the battle of fredericksburg.,cpu,Naive
401.201536655426,what's a movie in the india netflix genre?,cpu,Naive
399.59099864959717,"Name a famous Australian singer known for pop music?
",cpu,Naive
326.70496439933777,what is the record label of afi?,cpu,Naive
401.688738822937,who was in charge of story on jumanji.,cpu,Naive
479.4566752910614,What country did the battle of lechfeld take place in?,cpu,Naive
400.352112531662,"what is elizabeth couchman's gender?
",cpu,Naive
248.59259700775146,what kind of book is night time,cpu,Naive
248.6562089920044,who composed run for your life.,cpu,Naive
552.7487316131592,Who is the former Justice of Supreme Court of Pakistan born in mumbai?,cpu,Naive
326.27851462364197,which artist is considered an indie rock artist?,cpu,Naive
363.49797463417053,what label is the the delmore brothers under?,cpu,Naive
