time,response,device,method
62.125088691711426,What kind of music is anthems for worship? What,cpu,RSR
61.834497690200806,what was billy walton's football position?,cpu,RSR
73.8694179058075,which footballer was born in canton of nidwalden in,cpu,RSR
70.1865622997284,Which city and country was toni branca born in the,cpu,RSR
58.71642303466797,"Who is a politician born in gloucester,",cpu,RSR
58.273372411727905,"What genre of film is ram-avtar?
",cpu,RSR
98.81955933570862,what did amir-abbas hoveyda die as a result of? The,cpu,RSR
37.85419726371765,what is largemouth bass called,cpu,RSR
78.36931538581848,who was a military personnel involved in the battle of fredericksburg.,cpu,RSR
63.53785514831543,what's a movie in the india netflix genre of,cpu,RSR
63.52918553352356,Name a famous Australian singer known for pop music?,cpu,RSR
52.954561948776245,"what is the record label of afi?
",cpu,RSR
63.05085253715515,who was in charge of story on jumanji ,cpu,RSR
73.41317248344421,"What country did the battle of lechfeld take place in?
",cpu,RSR
58.20887351036072,what is elizabeth couchman's gender?,cpu,RSR
42.94908595085144,what kind of book is night?,cpu,RSR
43.06723165512085,"who composed run for your life,",cpu,RSR
83.94762802124023,"Who is the former Justice of Supreme Court of Pakistan born in mumbai?
",cpu,RSR
53.34609580039978,"which artist is considered an indie rock artist?
",cpu,RSR
58.01996970176697,what label is the the delmore brothers under the,cpu,RSR
