time,response,device,method
43.00732088088989,When was Hiroshima bombed? The,cpu,RSR
43.183812856674194,How much does water weigh? How,cpu,RSR
45.570353984832764,What are triglycerides? What,cpu,RSR
41.08720684051514,What are spider veins? Spider,cpu,RSR
64.99749779701233,Which country gave New York the Statue of Liberty? The,cpu,RSR
44.11849856376648,What is cerebral palsy? C,cpu,RSR
54.04948449134827,What is the capital of Persia? ,cpu,RSR
43.73315501213074,Where are the Rocky Mountains? The,cpu,RSR
59.0063362121582,What is the criterion for being legally blind? ,cpu,RSR
115.25696396827698,The U.S. Department of Treasury first issued paper currency for the U.S. during which war? The,cpu,RSR
38.49769163131714,What is TMJ? TM,cpu,RSR
68.75894784927368,What state has the least amount of rain per year? ,cpu,RSR
33.502182722091675,Where is Perth? Perth,cpu,RSR
59.1942834854126,What do you call a newborn kangaroo? A,cpu,RSR
43.822505712509155,Where is the Savannah River? The,cpu,RSR
54.031683921813965,What is the birthstone for June? What,cpu,RSR
38.4496591091156,What is an ulcer? An,cpu,RSR
43.75867962837219,What is strep throat? St,cpu,RSR
43.70826745033264,Where are the National Archives? The,cpu,RSR
43.87550163269043,Who is a German philosopher? ,cpu,RSR
